CIPCode,CIPTitle,url,CIPDefinition_concat,CIPDefinition_summary,related
01.10,Food Science and Technology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87753," A program that focuses on the application of biological, chemical, and physical principles to the study of converting raw agricultural products into processed forms suitable for direct human consumption, and the storage of such products.  Includes instruction in applicable aspects of the agricultural sciences, human physiology and nutrition, food chemistry, agricultural products processing, food additives, food preparation and packaging, food storage and shipment, and related aspects of human health and safety including toxicology and pathology. A program that focuses on the application of chemical, physical, and engineering principles to the development and implementation of manufacturing, packaging, storage, and distribution technologies and processes for food products.  Includes instruction in food engineering, food preservation and handling, food preparation, food packaging and display, food storage and shipment, and related equipment and facilities design, operation, and maintenance. Any instructional program in food sciences and technology not listed above.","A program that teaches the principles of converting raw agricultural products into processed foods suitable for consumption, including agriculture, nutrition, food chemistry, processing, preparation, packaging, storage, and safety. It also teaches food engineering, preservation, handling, packaging, and facilities design.","30.19,01.11,01.09"
01.11,Plant Sciences.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=88010," A general program that focuses on the scientific principles that underlie the breeding, cultivation, and production of agricultural plants, and the production, processing, and distribution of agricultural plant products.  Includes instruction in the plant sciences, crop cultivation and production, and agricultural and food products processing. A program that focuses on the chemical, physical, and biological relationships of crops and the soils nurturing them.  Includes instruction in the growth and behavior of agricultural crops, the development of new plant varieties, and the scientific management of soils and nutrients for maximum plant nutrition, health, and productivity. A program that focuses on the scientific principles related to the cultivation of garden and ornamental plants, including fruits, vegetables, flowers, and landscape and nursery crops.  Includes instruction in specific types of plants, such as citrus; breeding horticultural varieties; physiology of horticultural species; and the scientific management of horticultural plant development and production through the life cycle. A program that focuses on the application of genetics and genetic engineering to the improvement of agricultural plant health, the development of new plant varieties, and the selective improvement of agricultural plant populations.  Includes instruction in genetics, genetic engineering, population genetics, agronomy, plant protection, and biotechnology. A program that focuses on the application of scientific principles to the control of animal, insect and weed infestation of domesticated plant populations and other settings, including agricultural crops; the prevention/reduction of attendant economic loss; and the control of environmental pollution and degradation related to pest infestation and pest control measures. Includes instruction in entomology, applicable animal sciences, plant pathology and physiology, weed science, crop science, and environmental toxicology. A program that focuses on the scientific study of rangelands, arid regions, grasslands, and other areas of low productivity, as well as the principles of managing such resources for maximum benefit and environmental balance.  Includes instruction in livestock management, wildlife biology, plant sciences, ecology, soil science, and hydrology. Any instructional program in plant sciences not listed above.","Programs in plant sciences cover principles and practices in crop cultivation, plant genetics and breeding, horticulture, pest management, and natural resource management, among others.","01.03,01.10,03.01"
01.12,Soil Sciences.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=88011," A program that generally focuses on the scientific classification of soils, soil properties, and their relationship to agricultural crops.  Includes instruction in soil chemistry, soil physics, soil biology, soil fertility, morphogenesis, mineralogy, hydrology, agronomy, and soil conservation and management. A program that focuses on the application of chemical and physical principles to research and analysis concerning the nature and properties of soils and the conservation and management of soils.  Includes instruction in soil and fluid mechanics, mineralogy, sedimentology, thermodynamics, geomorphology, environmental systems, analytical methods, and organic and inorganic chemistry. A program that focuses on application of microbiological theory and methods to the study of the organismic properties of soils, soil-plant and soil-animal interactions, and the biological components and effects of soil management strategies.  Includes instruction in microbiology and related biological sciences, applicable animal and plant sciences, soil chemistry and physics as related to biological characteristics, and environmental science. Any instructional program in the soil sciences not listed above.","Various programs that cover soil science, including topics such as classification, properties, chemistry, physics, biology, fertility, conservation, and management. These programs may focus on specific applications such as agricultural crops or environmental analysis.","01.06,26.07,01.09"
01.99,"Agriculture, Agriculture Operations, and Related Sciences, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=88012," Any instructional program in agriculture, agricultural operations, and related sciences not listed above.",Instructional program in agriculture and related sciences not specified.,
03.01,Natural Resources Conservation and Research.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=88015," A general program that focuses on the studies and activities relating to the natural environment and its conservation, use, and improvement.  Includes instruction in subjects such as climate, air, soil, water, land, fish and wildlife, and plant resources; in the basic principles of environmental science and natural resources management; and the recreational and economic uses of renewable and nonrenewable natural resources. A program that focuses on  environment-related issues using scientific, social scientific, or humanistic approaches or a combination.  Includes instruction in the basic principles of ecology and environmental science and related subjects such as policy, politics, law, economics, social aspects, planning, pollution control, natural resources, and the interactions of human beings and nature. A program that focuses on the application of biological, chemical, and physical principles to the study of the physical environment and the solution of environmental problems, including subjects such as abating or controlling environmental pollution and degradation; the interaction between human society and the natural environment; and natural resources management.  Includes instruction in biology, chemistry, physics, geosciences, climatology, statistics, and mathematical modeling. Any instructional program in natural resources conservation and research not listed above.","This program covers the study and improvement of the natural environment, including topics such as climate, ecology, and pollution control. It can approach these issues using scientific, social scientific, or humanistic methods. It also includes the application of biological and physical principles to environmental problem-solving.","01.03,03.03,01.12"
03.02,Natural Resources Management and Policy.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=88017," A program that prepares individuals to plan, develop, manage, and evaluate programs to protect and regulate natural habitats and renewable natural resources.  Includes instruction in the principles of wildlife and conservation biology, environmental science, animal population surveying, natural resource economics, management techniques for various habitats, applicable law and policy, administrative and communications skills, and public relations. A program that focuses on the application of economic concepts and methods to the analysis of issues such as air and water pollution, land use planning, waste disposal, invasive species and pest control, conservation policies, and related environmental problems.  Includes instruction in cost-benefit analysis, environmental impact assessment, evaluation and assessment of alternative resource management strategies, policy evaluation and monitoring, and descriptive and analytic tools for studying how environmental developments affect the economic system. A program that prepares individuals to apply the principles of marine/aquatic biology, oceanography, natural resource economics, and natural resources management to the development, conservation, and management of freshwater and saltwater environments.  Includes instruction in subjects such as wetlands, riverine, lacustrian, coastal, and oceanic water resources; water conservation and use; flood control; pollution control; water supply logistics; wastewater management; aquatic and marine ecology; aquatic and marine life conservation; and the economic and recreational uses of water resources. A program that focuses on how public and/or private land and associated resources can be preserved, developed, and used for maximum social, economic, and environmental benefit.  Includes instruction in natural resources management, natural resource economics, public policy, regional and land use planning, environmental impact assessment, applicable law and regulations, government and politics, principles of business and real estate land use, statistical and analytical tools, computer applications, mapping and report preparation, site analysis, cost analysis, and communications skills. A program that prepares individuals to plan, develop, and manage tourism in a natural resource setting, with an emphasis on applying environmentally sound, culturally sensitive, and economically sustainable principles. Includes instruction in environmental studies; natural resource management and interpretation; tourism planning, management, and policies; public land use management and policies; communications; marketing; and public relations. A program that prepares individuals to enforce natural resource and environmental protection regulations and laws; and to perform emergency duties to protect human life, property and natural resources, including fire prevention and control measures, and emergency and rescue procedures. Includes instruction in natural and physical sciences, natural resource management, outdoor field skills, firearms and outdoor equipment and vehicle operation, evidence collection and environmental sampling and monitoring, natural resource legislation, environmental compliance techniques, patrol procedures, investigation and report writing, interpersonal skills and crisis intervention, community liaison, public safety, public education, and public relations. Note: this program was re-instated after being deleted from CIP 2000; previously, it was coded as 03.0203. Any instructional program in natural resources management and policy not listed above.","Various programs that prepare individuals for careers in natural resource management and policy, including those focused on wildlife conservation, environmental economics, marine biology, land and resource development, tourism management, and environmental law enforcement.","01.11,01.03,01.00"
03.03,Fishing and Fisheries Sciences and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87948," A program that focuses on the scientific study of the husbandry and production of non-domesticated fish and shellfish populations for recreational and commercial purposes and the management of fishing and marine/aquatic product processing to ensure adequate conservation and efficient utilization.  Includes instruction in the principles of marine/aquatic biology, freshwater and saltwater ecosystems, water resources, fishing production operations and management, fishing policy and regulation, and the management of recreational and commercial fishing activities.","This program studies the management and production of non-domesticated fish and shellfish populations for commercial and recreational use, including marine/aquatic biology and fishing policy and regulation.","26.07,03.01,01.12"
03.05,Forestry.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87950," A program that generally prepares individuals to manage and develop forest areas for economic, recreational, and ecological purposes.  Includes instruction in forest-related sciences, mapping, statistics, harvesting and production technology, natural resources management and economics, wildlife sciences, administration, and public relations. A program that focuses on the application of one or more forest-related sciences to the study of environmental factors affecting forests and the growth and management of forest resources.  Includes instruction in forest biology, forest hydrology, forest mensuration, silviculture, forest soils, water resources, environmental science, forest resources management, and wood science. A program that prepares individuals to apply principles of forestry and natural resources management to the administration of forest lands and related resources.  Includes instruction in silviculture, forest mensuration, forest protection, inventorying, biometrics, geographic information systems, remote sensing, photogrammetry, forest policy and economics, forest land use planning, fire protection and management, and related administrative skills. A program that prepares individuals to apply the principles of forestry and related sciences to the development, care, and maintenance of individual trees and forested areas within or close to areas of dense human habitation.  Includes instruction in urban environments; effects of pollution on tree species; environmental design and landscaping; urban pest infestation; urban forest management; and applicable policies and regulations. A program that focuses on the application of chemical, physical, and engineering principles to the analysis of the properties and behavior of wood and wood products and the development of processes for converting wood into paper and other products.  Includes instruction in wood classification and testing, product development, manufacturing and processing technologies, and the design and development of related equipment and systems. A program that focuses on the application of forestry principles to the production, harvesting, and processing of forest resources and that prepares individuals to perform associated technical and managerial functions.  Includes instruction in forest production and utilization, industrial forestry, agroforestry, transplantation, timber harvesting, selection and identification of trees, processing technologies and systems, equipment operations and maintenance, and related management skills. A program that prepares individuals to assist foresters in the management and production of forest resources.  Includes instruction in woods and field skills, tree identification, timber measurement, logging and timber harvesting, forest propagation and regeneration, forest fire-fighting, resource management, equipment operation and maintenance, record-keeping, sales and purchasing operations, and personnel supervision. Any program in forestry not listed above.","Programs in forestry cover management, development and conservation of forest areas, including forest biology, soil science, silviculture, wood science, and forest resources management.","28.45,45.11,16.01"
03.06,Wildlife and Wildlands Science and Management.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87956," A program that prepares individuals to conserve and manage wilderness areas and the flora, marine and aquatic life therein, and manage wildlife reservations and zoological/aquarium facilities for recreational, commercial, and ecological purposes. Includes instruction in wildlife biology, marine/aquatic biology, environmental science,  freshwater and saltwater ecosystems, natural resources management and policy, outdoor recreation and parks management, the design and operation of natural and artificial wildlife habitats, applicable law and regulations, and related administrative and communications skills.","This program teaches individuals how to manage and conserve wilderness areas, wildlife reservations, and zoological facilities through wildlife and environmental studies, outdoor recreation and park management, and communication skills.",
03.99,"Natural Resources and Conservation, Other.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87958, Any instructional program in natural resources and conservation not listed above.,Customizable natural resources and conservation curriculum.,
04.02,Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87961," A program that prepares individuals for the independent professional practice of architecture and to conduct research in various aspects of the field.  Includes instruction in architectural design, history, and theory; building structures and environmental systems; project and site planning; construction; professional responsibilities and standards; and related cultural, social, economic, and environmental issues.","This program trains individuals to become architects and conduct research in the field through instruction in design, history, structures, construction, and environmental issues.","04.06,24.01,30.44"
04.03,"City/Urban, Community and Regional Planning.",https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87963," A program that prepares individuals to apply principles of planning, analysis, and architecture to the development and improvement of urban areas and surrounding regions, and to function as professional planners.  Includes instruction in principles of architecture; master plan development; service, communications, and transportation systems design; community and commercial development; zoning; land use planning; applied economics; policy analysis; applicable laws and regulations; and professional responsibilities and managerial duties.","This program trains students to be professional urban planners, teaching skills in architecture, planning, economics, policy analysis, and managerial duties.",
04.04,Environmental Design.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87965," A program that prepares individuals to design public and private spaces, indoor and outdoor, for leisure, recreational, commercial, and living purposes, and for professional practice as environmental designers and architects.  Includes instruction in the design and planning of public and private open spaces and their relationship to buildings and other aspects of the built environment; facilities management; related aspects of interior design and architecture, landscape architecture, and urban planning; and professional responsibilities and standards.","This program teaches how to design indoor and outdoor public and private spaces, and prepares individuals for professional practice as environmental designers and architects.","04.05,15.10,15.12"
04.05,Interior Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87967," A program that prepares individuals to apply architectural principles in the design of structural interiors for living, recreational, and business purposes and to function as professional interior architects.  Includes instruction in architecture, structural systems design, heating and cooling systems, occupational and safety standards, interior design, specific end-use applications, and professional responsibilities and standards.","This program trains individuals to design interiors for various purposes and become professional interior architects through instruction in architecture, interior design, and professional responsibilities.","04.04,15.10,15.12"
04.06,Landscape Architecture.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87969," A program that prepares individuals for the independent professional practice of landscape architecture and research in various aspects of the field.  Includes instruction in geology and hydrology; soils, groundcovers, and horticultural elements; project and site planning; landscape design, history, and theory; environmental design; applicable law and regulations; and professional responsibilities and standards.","This program prepares individuals for independent professional practice in landscape architecture with instruction in various aspects of the field including geology, horticulture, design, and regulations.","04.02,13.13,09.15"
04.08,Architectural History and Criticism.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87172," A general program that focuses on the aesthetic, technical, and social development of the built environment and the architectural profession from earliest times to the present.  Includes instruction in the principles of architecture and related fields; art history; historiography of architecture; architectural theory and criticism; related aspects of the history of technology and social and economic history; and various period, cultural, and stylistic specializations.","This program teaches the history and principles of architecture, including art, technology, and culture from earliest times to present.",
04.09,Architectural Sciences and Technology.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=87174," A program that prepares individuals to assist architects in developing plans and related documentation and in performing architectural office services.  Includes instruction in architectural drafting, computer-assisted drafting and design, construction methods and materials, environmental systems, building codes and standards, structural principles, cost estimation, planning documentation, visual communication skills, display production, and architectural office management. A program that  focuses on the application of advanced technology to building design and construction, retrofitting existing buildings, and efficient operation of buildings, including lighting and daylight design, acoustics, solar design, building conservation, and energy-conscious design.  Includes instruction in architecture, building technology, civil and structural engineering, mechanical engineering, environmental control systems, sustainability, and computer tools and applications. Any instructional program in architectural sciences and technology not listed above.","Program trains individuals to assist architects, covering drafting, design, construction, environmental systems, building codes, cost estimation, office management, building technology, engineering and energy-conscious design.","02.04,04.06,14.33"
04.10,Real Estate Development.,https://nces.ed.gov/ipeds/cipcode/cipdetail.aspx?y=55&cipid=89427," A program that prepares individuals to create and redevelop housing, offices, retail centers, and industrial sites.  Includes instruction in architectural design and construction, historic preservation, landscape architecture, urban planning and design, business, real estate and land use law, public policy, and engineering.","This program teaches individuals to create and revamp buildings for various purposes, covering design, construction, legal, and policy aspects.",
