institution,degree_level,program,courses,descriptions
University of Houston,undergraduate,"Earth Science, B.A.",Introduction to Biological Science Laboratory 1 Introduction to Biological Science Laboratory 2 Introduction to Biological Science 1 Introduction to Biological Science 2 Fundamentals of Chemistry Laboratory Fundamentals of Chemistry Laboratory Fundamentals of Chemistry Fundamentals of Chemistry 2 Calculus I Calculus II General Physics Laboratory I General Physics Laboratory II Introductory General Physics I Introductory General Physics II Physical Geology Lab Historical Geology Laboratory Physical Geology Historical Geology Introduction to Climate Change Laboratory Introduction to Global Climate Change Introductory Meteorology Laboratory Introduction to Meteorology Geologic Field Methods Mineralogy Petrography Oceanography Principles of Atmospheric Science,"TCCNS Equivalent: BIOL 1106 TCCNS Equivalent: BIOL 1107 TCCNS Equivalent: BIOL 1306 TCCNS Equivalent: BIOL 1307 TCCNS Equivalent: CHEM 1111 TCCNS Equivalent: CHEM 1112 TCCNS Equivalent: CHEM 1311 TCCNS Equivalent: CHEM 1312 TCCNS Equivalent: MATH 2413 TCCNS Equivalent: MATH 2414 Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: PHYS 1301 TCCNS Equivalent: PHYS 1302 TCCNS Equivalent: GEOL 1103 TCCNS Equivalent: GEOL 1104 Additional Fee $40.00 Fee Type Field trip fee TCCNS Equivalent: GEOL 1304 Study of climate change processes through the collection of meteorological and geochemical data and analysis of climate related datasets. Core Category: [30] Life & Physical Sciences Study of weather elements and analysis of weather phenomena using meteorological instrumentation. Core Category: [30] Life & Physical Sciences Additional Fee $40.00 Fee Type Field trip fee Additional Fee $40.00 Fee Type Field trip fee Additional Fee $40.00 Fee Type Field trip fee Introduction to the world’s oceans and oceanic processes. Principles of physics and dynamics of atmosphere: Local, meso, and synoptic scale weather and global general circulation."
University of Houston,undergraduate,"Economics, B.A. ",Microeconomic Principles Macroeconomic Principles Intermed Microeconomics Intermed Macroeconomics Microeconomic Principles Macroeconomic Principles Introduction to Economic Data Analysis Intermed Microeconomics Intermed Macroeconomics,"TCCNS Equivalent: ECON 2302 TCCNS Equivalent: ECON 2301 Rigorous introduction to resource allocation in a market economy including consumer behavior, firm behavior, supply and demand, efficiency and the determination of prices. Rigorous introduction to the determination of aggregate output, employment, the price level and income. Includes effects of inflation, causes of business cycles determination of economic growth, impacts of monetary policy and effects of government taxation, spending and the national debt. TCCNS Equivalent: ECON 2302 TCCNS Equivalent: ECON 2301 Core Category: [90] Math/Reasoning Rigorous introduction to resource allocation in a market economy including consumer behavior, firm behavior, supply and demand, efficiency and the determination of prices. Rigorous introduction to the determination of aggregate output, employment, the price level and income. Includes effects of inflation, causes of business cycles determination of economic growth, impacts of monetary policy and effects of government taxation, spending and the national debt."
University of Houston,undergraduate,"Economics, B.S.",Microeconomic Principles Macroeconomic Principles Intermed Microeconomics Intermed Macroeconomics Microeconomic Principles Macroeconomic Principles Introduction to Economic Data Analysis Intermed Microeconomics Intermed Macroeconomics Introduction To Econometrics Calculus for Business and the Life Sciences Calculus I,"TCCNS Equivalent: ECON 2302 TCCNS Equivalent: ECON 2301 Rigorous introduction to resource allocation in a market economy including consumer behavior, firm behavior, supply and demand, efficiency and the determination of prices. Rigorous introduction to the determination of aggregate output, employment, the price level and income. Includes effects of inflation, causes of business cycles determination of economic growth, impacts of monetary policy and effects of government taxation, spending and the national debt. TCCNS Equivalent: ECON 2302 TCCNS Equivalent: ECON 2301 Core Category: [90] Math/Reasoning Rigorous introduction to resource allocation in a market economy including consumer behavior, firm behavior, supply and demand, efficiency and the determination of prices. Rigorous introduction to the determination of aggregate output, employment, the price level and income. Includes effects of inflation, causes of business cycles determination of economic growth, impacts of monetary policy and effects of government taxation, spending and the national debt. Introduction to basic econometric concepts and methods necessary for conducting empirical analysis. Practical applications using Excel and Stata. Topics include model specification, regression analysis, results interpretation and an overview of advanced topics in econometrics. TCCNS Equivalent: MATH 1325 TCCNS Equivalent: MATH 2413"
University of Houston,undergraduate,"Electrical Engineering, B.S.E.E.","Fundamentals of Chemistry Laboratory Fundamentals of Chemistry Introduction To Engineering First Year Writing I The U S To 1877 Calculus I Computing and Problem Solving for Engineers First Year Writing II The U S Since 1877 Calculus II University Physics I University Physics Laboratory I Circuit Analysis I Calculus III Engineering Mathematics University Physics II University Physics Laboratory II U.S. and Texas Constitution and Politics Circuit Analysis II Circuit Analysis Laboratory Programming Applications in Electical and Computer Engineering Microprocessor Systems Signals and Systems Analysis Technical Communications for Engineers Electronics Electronics Laboratory Applied Electromagnetic Waves Numerical Methods for Electrical and Computer Engineers U.S. Government: Congress, President, and Courts Engineering Statistics I Electrical and Computer Engineering Design I Microeconomic Principles Electrical and Computer Engineering Design II","TCCNS Equivalent: CHEM 1111 TCCNS Equivalent: CHEM 1311 Overview of engineering, information about various engineering disciplines, instroductory problem-solving, engineering design, and engineering ethics. TCCNS Equivalent: ENGL 1301 TCCNS Equivalent: HIST 1301 TCCNS Equivalent: MATH 2413 Introduction to computing; matrix arithmetic, programming constructs, algorithms and graphical visualization using MATLAB; problem solving applications in engineering analysis and design. TCCNS Equivalent: ENGL 1302 TCCNS Equivalent: HIST 1302 TCCNS Equivalent: MATH 2414 Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee Note: Major exams given on Saturdays. TCCNS Equivalent: MATH 2415 Students may not receive credit for both MATH 3321 and MATH 3331. First order ordinary differential equations and initial value problems; higher order differential equations; vector spaces, matrices, determinants, eigenvectors and eigenvalues; applications to systems of first order equations; Laplace transforms. Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: GOVT 2306 Analysis of electric circuits, including inductors, capacitors, and first order circuits; sinusoidal analysis. Introduction to the electronics laboratory equipment. Introductory experiments in circuit analysis. Formal report writing. This laboratory course is a prerequisite for all other ECE laboratory courses. Procedural programming in C and C++, with applications in electrical and computer engineering. Memory devices, microcomputer architecture, assembly language programming, I/O programming, I/O interface design, data communications, and data acquisition systems. Laboratory exercises in assembly language and C. Time and frequency domain techniques for signals and systems analysis. Engineering applications of the convolution integral, Fourier series and transforms, and Laplace transforms. Core Category: [81] Writing in the Disciplines Signal and amplifier concepts; operational amplifiers; diodes and nonlinear circuits; bipolar junction transistors; biasing, small and large signal analysis; transistor amplifiers. Laboratory projects concerning topics studied in electronics Maxwell’s equations in time and frequency domains, Poynting’s theorem, plane wave propagation, reflection and transmission in lossless and lossy media, transmission lines, waveguides, and antennas. Basic numerical methods with engineering applications. Emphasis on use of computer-based solution techniques. TCCNS Equivalent: GOVT 2305 ENGR majors must also have credit for CHEE 1331, CIVE 1331, ECE 1331, INDE 1331, MECE 1331 or equivalent and permission of chair. Probability and statistical inference for engineering applications; probability distributions, estimation, statistical tests, and reliability theory. Propose and begin team projects involving open-ended design problems supplied by industry and faculty. Professionalism, research methodologies, design tools, and technical communication. TCCNS Equivalent: ECON 2302 Complete, construct, demonstrate, and defend team projects begun in ECE 4335."
University of Houston,undergraduate,"Electrical Power Engineering Technology, B.S.",Circuit Theory and Lab I Circuit Theory and Laboratory II Poly-phase Circuits and Transformers Poly-Phase Circuits and Transformers Laboratory Digital Systems Digital Systems Laboratory Semiconductor Devices and Circuits Semiconductor Devices and Circuits Laboratory Linear Systems Analysis Microprocessor Architecture Electrical Machines and Controls Electrical Machines and Controls Laboratory Programmable Logic Controllers & Motor Control Systems Rotating Machine Controls Laboratory Computer-Based Power Distribution and Transmission Electrical Power System Design and Project Management Principles Computer-Based Electrical System Protection and Safety Electrical Power Systems and Industry Practices Power Converter Circuits Power Converter Circuits Laboratory Control Systems Alternative Electrical Energy Sources Computer-Based Communications and Security Issues for Electrical Power Systems Nuclear Fueled Electrical Power Plants Introduction to C++ Programming Calculus I Calculus II Applied Technical Statistics Statistical Applications Engineering Mathematics Introductory General Physics I General Physics Laboratory I Introductory General Physics II General Physics Laboratory II Technical Communications Organizational Leadership and Supervision Organizational Decisions in Technology Elements of Materials and Processes Computer-Aided Drafting I,"Principles and applications of direct current electricity. Applications to series, parallel, and series-parallel circuitry including Ohm’s Law, Kirchhoff’s Laws, mesh and nodal analysis, resistance, capacitance, inductance, magnetism, and electromagnetism. Analysis and applications of single phase and three phase alternating current circuits, transformers and electric power concepts. Poly-phase circuit analysis and fundamentals of power transformers. Additional Fee $2.00 Fee Type Lab Fee Digital systems and their applications, gates, Boolean algebra, simplification methods, design of combinational logic circuits, counters, IC characteristics, MSI, and memory devices. Experiments in digital systems, including basic gates, combinational and sequential systems, binary arithmetic circuits, MUX/DEMUX, decoder and encoder devices. Use of modern software simulation tools is emphasized. Solid state devices and circuits, including single stage and multistage amplifiers, frequency response, and semiconductor circuit applications. Experiments in semiconductor circuits and systems. Differential equations, Fourier series & transforms, Laplace transforms. Applications to linear systems: electrical circuits, communication, signal processing, and control. Use of modern simulation software packages. Architecture and operation of microprocessor-based systems including basic hardware, software, and interfaces. Characteristics and operation of dc and ac motors, generators, and basic motor control principles. Additional Fee $2.00 Fee Type Lab Fee Programmable Logic Controllers and microprocessor-based controls for electrical motors and generators. Experiments in electromechanical, PLC, and solid-state controls for rotating machines. Principles of operation and applied design of bulk power distribution and transmission systems and substations. Design and layout of electrical power systems for commercial and industrial facilities, and project management principles. Computer-based protection of electrical systems and components. Electrical system safety practices. History, regulatory and legal issues in electrical power. Relationships among institutions involved in electrical power: FERC, North American Reliability Council, state regulation boards, and EPRI. Basic electrical power generation plant principles. Electric power converter circuits: rectifiers, inverters, dc-dc converters, power supplies, and power quality issues associated with the operation of converters. Pspice simulation and laboratory experiments involving power converter circuits and their control/application. Modeling and analysis of single-input, single-output feedback control systems. Tuning of cascade compensator parameters, stability, analog and digital implementation, frequency-domain methods, and simulation using modern software packages. Relative advantages and economic factors associated with alternative energy sources, utility interface issues and their impact on power quality. Computer-based communications and security issues for electrical power system operation and SCADA. Nuclear fueled electrical power plants: types, operation, advantages, disadvantages, trends. Core Category: [90] Math/Reasoning TCCNS Equivalent: MATH 2413 TCCNS Equivalent: MATH 2414 Core Category: [90] Math/Reasoning Note: May not apply to course or GPA requirements for a major or minor in Natural Sciences and Mathematics. Students may not receive credit for both MATH 3321 and MATH 3331. First order ordinary differential equations and initial value problems; higher order differential equations; vector spaces, matrices, determinants, eigenvectors and eigenvalues; applications to systems of first order equations; Laplace transforms. TCCNS Equivalent: PHYS 1301 Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: PHYS 1302 Additional Fee $2.00 Fee Type Lab Fee Core Category: [81] Writing in the Disciplines The supervisory process. Established practices and supporting knowledge of supervisory planning, leading, organizing, and controlling. Systems-theory approach to organizational planning and decision making in a variety of contexts. Survey of manufacturing processes. Application of machine tools, measuring tools, and primary processes to the manufacturing cycle. May not apply to the Mechanical Engineering Technology Degree. Students may not receive credit for MECT 1364 and MECT 1365. Computer-aided drafting and design (CAD) systems and computer graphics hardware and software. Selection and evaluation of CAD systems."
University of Houston,undergraduate,"English, B.A.","Introduction to Literary Studies Nobel Prize Winners in Literature Hong Kong Cinema Postcolonial Literature Caribbean Novels Caribbean Literatures Introduction to the Study of Language Sociolinguistics Teaching English as a Second Language History of the English Language Grammar and Usage Varieties of English Language Socialization Development of Literary Criticism and Theory The Development of the Novel Structures of Poetry The Development of Dramatic Literature Advanced Composition Business and Professional Writing Introduction to the Study of Language Teaching English as a Second Language Varieties of English Introduction to Syntax History of the English Language Language Socialization Sociolinguistics English in the Secondary Schools Grammar and Usage Feminist Criticism and Theory Queer Theory Introduction to Folklore Documenting Community Culture Folktale Literature and Medicine Literature and the Environment Film, Text, and Politics English in the Secondary Schools Professional Internship Senior Seminar: Advanced Community Engagement Senior Experience Seminar Topics Independent Study Senior Honors Thesis","Development of skills in critical reading of and critical writing about literary texts. Examination of selected works by winners of the Nobel Prize in literature in prose, poetry, and drama, focusing on literary techniques and the cultural background and significance of the work. Study of generic, historical, and stylistic characteristics of non-western, postcolonial Hong Kong Cinema. Literary works from and about cultures that have recently emerged from a colonial past. The range of literary expression including novels, short stories and poetry by peoples of Caribbean origin in the diaspora. Development and thematic concerns of novel writing from the Anglophone, Hispanophone, and Francophone Caribbean in English. Overview of linguistics, introducing basic concepts with particular attention to English: sounds, word formation, approaches to grammatical description, history, acquisition, and social and regional variation. Social implications of language; linguistic insight into social stratification. Theory and techniques of teaching English as a second language to adolescents and adults. Linguistic and cultural approach to the history of the English language through its various periods. Parts of speech, sentence elements, and doctrines of correctness. An exploration of language diversity, variations of American English, and the factors of language change. Issues and consequences of language diversity will be discussed as they relate to cultural diversity, attitudes, education, and policy. The study of human socialization and language use through ethnographic data collection. Students will examine how language practices compare across cultures and contexts as well as how this knowledge fits into broader social theoretical frameworks. The course will cover the major developments in critical thought from Plato and Aristotle to the present. Core Category: [40] Language, Philosophy, & Culture Core Category: [40] Language, Philosophy, & Culture European dramatic literature from its classical origins to the modern period. Undergraduate credit only. Practice in prose rhetoric, especially in formal and informal essays, popular and professional articles, and critical reviews. Writing business letters, various types of business reports, proposals, and résumés. Overview of linguistics, introducing basic concepts with particular attention to English: sounds, word formation, approaches to grammatical description, history, acquisition, and social and regional variation. Theory and techniques of teaching English as a second language to adolescents and adults. An exploration of language diversity, variations of American English, and the factors of language change. Issues and consequences of language diversity will be discussed as they relate to cultural diversity, attitudes, education, and policy. English grammatical structures from the perspective of contemporary linguistics. Linguistic and cultural approach to the history of the English language through its various periods. The study of human socialization and language use through ethnographic data collection. Students will examine how language practices compare across cultures and contexts as well as how this knowledge fits into broader social theoretical frameworks. Social implications of language; linguistic insight into social stratification. Content areas taught in secondary schools with emphasis on language and composition. Parts of speech, sentence elements, and doctrines of correctness. An introduction to the theories and methods of feminist criticism as practiced in literary studies. An introduction to the field of queer theory as practiced in literary studies. Introduction to the theories and methods of folkloristics; collection and analysis of folklore. Term-long fieldwork and research project emphasizing the methods and principles of studying communities and recording folklore. Social and artistic properties of major forms of oral narrative. Literature by and about physicians and patients: experiences of illness, aging, death, reconciliation, recovery, healing, pregnancy. Emphasis on ethical questions. Literature about nature, the environment, wilderness preservation, environmental justice, and urban nature in the context of current developments in ecocritical theory and criticism. Analysis and interpretation of film in terms of genre, narrative, aesthetics, cultural context, and political content. Content areas taught in secondary schools with emphasis on language and composition. May be repeated once for credit. Advanced community engagement and/or service learning and reflection. Classroom and fieldwork focus on community literacy and the development of reflective research. Course fulfills senior experience requirement. Topics for the seminar will vary. The course is self-reflective and integrative learning focused on advanced independent research writing that engages critical thinking. Prerequisite: ENGL 1304 or equivalent and approval of chair.    Prerequisite: approval of department chair."
University of Houston,undergraduate,"Entrepreneurship, B.B.A.","Entrepreneurship Entrepreneurial Revenue Entrepreneurial Costs and Budgets Entrepreneurial Capital Entrepreneurial Strategy Business Plan and Implementation Entrepreneurial Values and Leadership First Year Writing I First Year Writing II Connecting Bauer to Business Introduction to Psychology Introduction to Sociology Introduction to Computers and Management Information Systems Finite Math with Applications Calculus for Business and the Life Sciences Calculus I Accounting Principles 1 - Financial Accounting Principles 2 -Managerial Microeconomic Principles Macroeconomic Principles Statistical Analysis for Business Applications I The United States To 1877 The U S To 1877 The U S Since 1877 The United States Since 1877 U.S. and Texas Constitution and Politics U.S. Government: Congress, President, and Courts Supply Chain Management Fundamentals Principles of Financial Management Introduction to Organizational Behavior and Management Introduction to Marketing Professional Selling Business and Professional Communication Introduction to Global Business Global Environment of Business Business Law and Ethics","Note: Credit not given for both ENTR 3310 and ENTR 3311. Relationships among pricing, marketing strategies and revenues. Cost research and relationships between income, balance sheets, cash flow, capital budgets, and operating budget statements. Concepts and issues in legal forms of organizations, capital choices, and sources of funding. Strategy and tactics in developing ideas and allocating resources for entrepreneurs. Development and implementation of business plans. Note: May be repeated for credit. TCCNS Equivalent: ENGL 1301 TCCNS Equivalent: ENGL 1302 Note: Credit not given for both GENB 3302 and GENB 3301. Students who change their major to business with credit for GENB 3301 may substitute it for GENB 3302 and must meet the business writing evaluation requirement. TCCNS Equivalent: PSYC 2301 TCCNS Equivalent: SOCI 1301 Fundamental concepts of information systems used in business including the use of computer tools to aid in business decision making. TCCNS Equivalent: MATH 1324 TCCNS Equivalent: MATH 1325 TCCNS Equivalent: MATH 2413 TCCNS Equivalent: ACCT 2301 TCCNS Equivalent: ACCT 2302 TCCNS Equivalent: ECON 2302 TCCNS Equivalent: ECON 2301 Random variables and their probability distributions; sampling distributions; point and interval estimation; hypothesis testing; correlation and linear regression. Core Category: [60] American History TCCNS Equivalent: HIST 1301 TCCNS Equivalent: HIST 1302 Core Category: [60] American History TCCNS Equivalent: GOVT 2306 TCCNS Equivalent: GOVT 2305 Concepts and techniques used to plan, source, make and deliver products and services meeting customer needs in a global environment. Topics include supply chain strategy, forecasting, inventory management, logistics, and operations management, among others. Time value of money, principles of corporate financial management and investments. Note: Credit for both MANA 3335 and MANA 3333: 3334 cannot be applied toward a degree. Analysis of the political, social, legal, and economic environments. Formulation of strategies and tactics for the design, pricing, channels, and promotion of products/services. Basic concepts of selling. Intended for juniors and seniors in business and the professions. Communication activities in business and professional settings with emphasis on oral presentations, interviews, negotiations, and group processes. Introduction to the concepts, institutions, and events associated with the globalization of business. Political issues and economic trends that influence and are influenced by the process of globalization, and an analysis of how globalization interacts with the nation-state and economic institutions. Core Category: [81] Writing in the Disciplines"
University of Houston,undergraduate,"Environmental Design, B.S.","Introduction to Architecture Design, Industrial Design, & Interior Arch Design Studio I First Year Writing I The U S To 1877 College Algebra Design Since 1945 Design Studio II First Year Writing II The U S Since 1877 Precalculus Architecture and Interior Architecture Design Studio III Technology I Survey of Architectural History I Introductory General Physics I Architecture Design Studio IV Technology 2 Survey of Architectural History II Programming & Bldg Regulations Introductory General Physics II Architecture Design Studio V Technology 3 U.S. and Texas Constitution and Politics Architecture Design Studio VI Technology 4 U.S. Government: Congress, President, and Courts Urban Environments","Introduction to architecture, industrial design, and interior architecture theory, history, technology, and practice. Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: ENGL 1301 TCCNS Equivalent: HIST 1301 TCCNS Equivalent: MATH 1314 Core Category: [81] Writing in the Disciplines Analysis of spatial strategies, ordering systems, and design communication through analog and digital means. Introduction to the design process. TCCNS Equivalent: ENGL 1302 TCCNS Equivalent: HIST 1302 TCCNS Equivalent: MATH 2312 Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: PHYS 1301 Development of design process and communication media; qualifying and quantifying aspects of building design. Intermediate level building science. Core Category: [50] Creative Arts Preparation of a program for an architectural project, including client and user needs, space and equipment requirements, site conditions, relevant laws and standards, and site selection and design assessment criteria. TCCNS Equivalent: PHYS 1302 Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee TCCNS Equivalent: GOVT 2306 A continuation of ARCH 3500 with special emphasis on the development of diverse building program in individual studios. Intermediate level building science focusing on quantitative measures. TCCNS Equivalent: GOVT 2305 History of eastern and western architecture and art from 1750 to the present with attention to cultural, philosophical and technical influences."
University of Houston,undergraduate,"Environmental Sciences, B.S.",Physical Geology Physical Geology Lab Introduction to Global Climate Change Introduction to Climate Change Laboratory Introduction to Meteorology Introductory Meteorology Laboratory Introduction to Biological Science 1 Introduction to Biological Science Laboratory 1 Introduction to Biological Science 2 Introduction to Biological Science Laboratory 2 Fundamentals of Chemistry Fundamentals of Chemistry Laboratory Fundamentals of Chemistry 2 Fundamentals of Chemistry Laboratory Calculus I Calculus II Calculus III Statistics for the Sciences University Physics I University Physics Laboratory I University Physics II University Physics Laboratory II Geologic Field Methods Mineralogy Environmental Geology Environmental Hydrogeology Geospatial Analysis and Applications Environmental Data Analysis Environmental Science Field Research Environmental Geochemistry Geochemical Reaction Modeling Principles of Air Pollution Principles of Atmospheric Science Atmospheric Chemistry Environmental Data Analysis Air Pollution Meteorology Environmental Science Field Research Atmospheric Radiation Aerosols and Climate Atmospheric Instrumentation,"Additional Fee $40.00 Fee Type Field trip fee TCCNS Equivalent: GEOL 1103 Core Category: [30] Life & Physical Sciences Study of climate change processes through the collection of meteorological and geochemical data and analysis of climate related datasets. Core Category: [30] Life & Physical Sciences Study of weather elements and analysis of weather phenomena using meteorological instrumentation. TCCNS Equivalent: BIOL 1306 TCCNS Equivalent: BIOL 1106 TCCNS Equivalent: BIOL 1307 TCCNS Equivalent: BIOL 1107 TCCNS Equivalent: CHEM 1311 TCCNS Equivalent: CHEM 1111 TCCNS Equivalent: CHEM 1312 TCCNS Equivalent: CHEM 1112 TCCNS Equivalent: MATH 2413 TCCNS Equivalent: MATH 2414 TCCNS Equivalent: MATH 2415 Graphical and descriptive methods in statistics, probability, random variables and distributions, sampling, estimation, hypothesis testing, regression, analysis of variance, exploratory and diagnostic methods, statistical computing. Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee Additional Fee $2.00 Fee Type Lab Fee Additional Fee $40.00 Fee Type Field trip fee Additional Fee $40.00 Fee Type Field trip fee Geosciences related aspects of the inter-action between people and the physical environment, including 1) philosophy and fundamental principles, 2) hazardous earth processes, 3) human interaction with the environment, 4) minerals, energy and environment, and 5) global change, land use planning, and decision making. Principles of groundwater and surface water flow and interaction with the environment: water quality and pollution. Fundamentals of geospatial science, methods, analysis and applications with hands-on experience. Physical and mathematical basis of environmental data analysis. Topics include basic concepts of statistics, regression, filtering, and principal component analysis, etc. Credit cannot be applied for GEOL 4334 and 6328. Field data collection and analysis for environmental science student, including measurements and analysis of atmospheric, geospatial, and ecological properties. An introduction to the principles of chemistry as they apply to the solution of geological problems including the processes that control the composition of water in the earth and reactions between water and rocks. Theory and application of geochemical reaction modeling. Approaches to modeling aqueous processes and their applications in diverse geological and environmental systems. Structure of the atmosphere, anthropogenic and natural emissions of pollutant precursors, meteorological influences on pollutant transport and diffusion, chemical transformations, and health effects of pollution. Principles of physics and dynamics of atmosphere: Local, meso, and synoptic scale weather and global general circulation. Introduction to the principles of atmospheric chemistry and their relationship to global change. Basic instrumentation will be covered in the lab portion. Physical and mathematical basis of environmental data analysis. Topics include basic concepts of statistics, regression, filtering, and principal component analysis, etc. Credit cannot be applied for GEOL 4334 and 6328. Meteorological factors influencing air quality. Atmospheric dispersion and characteristics, land use and topographic effects, local circulations, effects of cloud and precipitation, long range transport. Field data collection and analysis for environmental science student, including measurements and analysis of atmospheric, geospatial, and ecological properties. Principles of radiative transfer in the atmosphere. Remote sensing of clouds, aerosols, and trace gases in the Earth’s atmosphere. Note: Credit may not be applied for both GEOL 4340 & 6327. Overview of contemporary methods used in atmospheric research, including absorption spectroscopy, mass spectrometric, chromatographic, and radiometric methods. Hands-on laboratory where students set-up, operate, and collect field data."
University of Houston,undergraduate,"Exercise Science, B.S.","First Year Writing I First Year Writing II College Algebra Precalculus Introduction to Probability and Statistics Introduction to Psychological Statistics The U S To 1877 The U S Since 1877 U.S. and Texas Constitution and Politics U.S. Government: Congress, President, and Courts Introduction to Biological Science 1 Introduction to Biological Science 2 Public Health Issues in Physical Activity and Obesity Foundations of Kinesiology, Health, and Fitness Human Structure and Physical Performance Sociological and Cultural Aspects of Kinesiology and Sport Physiology of Human Performance Biomechanics Psychological Aspects of Sports and Exercise Measurement Techniques in Human Performance Motor Learning and Control Exercise Testing Introduction To Human Nutrition Foundations of Chemistry Introductory General Physics I Introductory General Physics II","TCCNS Equivalent: ENGL 1301 TCCNS Equivalent: ENGL 1302 TCCNS Equivalent: MATH 1314 TCCNS Equivalent: MATH 2312 TCCNS Equivalent: MATH 1342 Core Category: [90] Math/Reasoning TCCNS Equivalent: HIST 1301 TCCNS Equivalent: HIST 1302 TCCNS Equivalent: GOVT 2306 TCCNS Equivalent: GOVT 2305 TCCNS Equivalent: BIOL 1306 TCCNS Equivalent: BIOL 1307 Core Category: [80] Social & Behavioral Sciences Introductory information on, and  historical backgrounds of the fields of kinesiology, health, and fitness. Students will assess their own health and fitness levels. Anatomy and its application to human performance. Social and cultural issues relevant to health and human performance in exercise and sport environments. The changes in physiological functions resulting from physical activity. Anatomy and mechanical principles in movement skills. Theories and principles of sport and exercise psychology. Quantitative methods in the construction and utilization of instruments used in health and human performance. Biomechanical neurophysiological and psychological elements of the motor learning and control processes. Laboratory and field testing procedures for use in exercise assessment and prescription. Core Category: [30] Life & Physical Sciences TCCNS Equivalent: CHEM 1306 TCCNS Equivalent: PHYS 1301 TCCNS Equivalent: PHYS 1302"
University of Houston,undergraduate,"Finance, B.B.A.","Investment Management Corporate Finance First Year Writing I First Year Writing II Connecting Bauer to Business Introduction to Psychology Introduction to Sociology Introduction to Computers and Management Information Systems Finite Math with Applications Calculus for Business and the Life Sciences Calculus I Accounting Principles 1 - Financial Accounting Principles 2 -Managerial Microeconomic Principles Macroeconomic Principles Statistical Analysis for Business Applications I The United States To 1877 The U S To 1877 The U S Since 1877 The United States Since 1877 U.S. and Texas Constitution and Politics U.S. Government: Congress, President, and Courts Supply Chain Management Fundamentals Principles of Financial Management Introduction to Organizational Behavior and Management Introduction to Marketing Professional Selling Business and Professional Communication Introduction to Global Business Global Environment of Business Business Law and Ethics","Techniques of securities evaluation, portfolio optimization, and the relationship between risk and return on financial securities. Capital budgeting, capital structure, and dividend policy of the firm. TCCNS Equivalent: ENGL 1301 TCCNS Equivalent: ENGL 1302 Note: Credit not given for both GENB 3302 and GENB 3301. Students who change their major to business with credit for GENB 3301 may substitute it for GENB 3302 and must meet the business writing evaluation requirement. TCCNS Equivalent: PSYC 2301 TCCNS Equivalent: SOCI 1301 Fundamental concepts of information systems used in business including the use of computer tools to aid in business decision making. TCCNS Equivalent: MATH 1324 TCCNS Equivalent: MATH 1325 TCCNS Equivalent: MATH 2413 TCCNS Equivalent: ACCT 2301 TCCNS Equivalent: ACCT 2302 TCCNS Equivalent: ECON 2302 TCCNS Equivalent: ECON 2301 Random variables and their probability distributions; sampling distributions; point and interval estimation; hypothesis testing; correlation and linear regression. Core Category: [60] American History TCCNS Equivalent: HIST 1301 TCCNS Equivalent: HIST 1302 Core Category: [60] American History TCCNS Equivalent: GOVT 2306 TCCNS Equivalent: GOVT 2305 Concepts and techniques used to plan, source, make and deliver products and services meeting customer needs in a global environment. Topics include supply chain strategy, forecasting, inventory management, logistics, and operations management, among others. Time value of money, principles of corporate financial management and investments. Note: Credit for both MANA 3335 and MANA 3333: 3334 cannot be applied toward a degree. Analysis of the political, social, legal, and economic environments. Formulation of strategies and tactics for the design, pricing, channels, and promotion of products/services. Basic concepts of selling. Intended for juniors and seniors in business and the professions. Communication activities in business and professional settings with emphasis on oral presentations, interviews, negotiations, and group processes. Introduction to the concepts, institutions, and events associated with the globalization of business. Political issues and economic trends that influence and are influenced by the process of globalization, and an analysis of how globalization interacts with the nation-state and economic institutions. Core Category: [81] Writing in the Disciplines"
